baseline_path	git_blob	proposed_disposition	apple_import_signals	semantic_review
.agents/skills/codexbar/SKILL.md	abcc6e3b2d5f45ad1794e3d73c280139880cbe5c	REVIEW_RESOURCE_BUILD_LICENSE		PENDING_FILE_CONTRACT_REVIEW
.agents/skills/codexbar/scripts/codexbar	d60c8d45d46695fb38cebbab72c74343bffb3a10	REVIEW_RESOURCE_BUILD_LICENSE		PENDING_FILE_CONTRACT_REVIEW
.agents/skills/codexbar/scripts/test_codexbar.py	ceb9dc7450012fdb0dcb89f29d9fac141e2dd8b7	REVIEW_RESOURCE_BUILD_LICENSE		PENDING_FILE_CONTRACT_REVIEW
.agents/skills/qa-test/SKILL.md	81c752a1652862cde1155a332f6044084a08b4af	REVIEW_RESOURCE_BUILD_LICENSE		PENDING_FILE_CONTRACT_REVIEW
.agents/skills/qa-test/agents/openai.yaml	3bf7a7b2784495296cef1a4ff72eee5ba6a5de69	REVIEW_RESOURCE_BUILD_LICENSE		PENDING_FILE_CONTRACT_REVIEW
.agents/skills/qa-test/references/api-specs.md	8bb7298c6ff371144091225efc6c22e837e8317d	REVIEW_RESOURCE_BUILD_LICENSE		PENDING_FILE_CONTRACT_REVIEW
.agents/skills/qa-test/scripts/live_provider_matrix.sh	0c8240ce0522fa325fa71e7280b28139519e504e	REVIEW_RESOURCE_BUILD_LICENSE		PENDING_FILE_CONTRACT_REVIEW
.agents/skills/release-codexbar/SKILL.md	2d823e80df25f1c7c59870aee82f48f15a924a7b	REVIEW_RESOURCE_BUILD_LICENSE		PENDING_FILE_CONTRACT_REVIEW
.github/pr-proof/3106-dashboard-snapshot.json	c5b4d973e84d37b0712d6be0120fff0f5a984e78	REVIEW_RESOURCE_BUILD_LICENSE		PENDING_FILE_CONTRACT_REVIEW
.github/pr-proof/cached-menu-card-shell-swap.log	f24d58cdd7fb188ee68034996298ebb83be608b3	REVIEW_RESOURCE_BUILD_LICENSE		PENDING_FILE_CONTRACT_REVIEW
.github/pr-proof/cached-menu-card-shell-swap.png	ae006432f8f0715dcb59b9e565d720b6f324e4b2	REVIEW_RESOURCE_BUILD_LICENSE		PENDING_FILE_CONTRACT_REVIEW
.github/pr-proof/codex-historical-pricing-proof.json	4e6c1a0b2cd2435562087422628df2ccf5125daa	REVIEW_RESOURCE_BUILD_LICENSE		PENDING_FILE_CONTRACT_REVIEW
.github/pr-proof/codex-historical-pricing-proof.log	63d05b327d247d1c56d4415cd6f802aa6b9d717b	REVIEW_RESOURCE_BUILD_LICENSE		PENDING_FILE_CONTRACT_REVIEW
.github/pr-proof/commandcode-monthly-grant-flake.log	3509f0645e46bd2208b2b291406ccc3093905d26	REVIEW_RESOURCE_BUILD_LICENSE		PENDING_FILE_CONTRACT_REVIEW
.github/pr-proof/conditional-metrics-combined.png	7ee5b17b5c1042c822f6f33d99cb9bc0ca48c3ac	REVIEW_RESOURCE_BUILD_LICENSE		PENDING_FILE_CONTRACT_REVIEW
.github/pr-proof/conditional-metrics-default-countdown.png	6a49261c2e5faa07a5bff1db861edfaba8b09018	REVIEW_RESOURCE_BUILD_LICENSE		PENDING_FILE_CONTRACT_REVIEW
.github/pr-proof/conditional-metrics-default-percent.png	36b53e26b7759e6618e054d470affddb9b748a0d	REVIEW_RESOURCE_BUILD_LICENSE		PENDING_FILE_CONTRACT_REVIEW
.github/pr-proof/conditional-metrics-hours-row.png	54d00208b19846f2ca9e422dd658bdfbce9d03dd	REVIEW_RESOURCE_BUILD_LICENSE		PENDING_FILE_CONTRACT_REVIEW
